devontown,agenew,count(borrower)
Cullompton,36,105
Cullompton,37,107
Cullompton,38,94
Cullompton,39,86
Cullompton,4,147
Cullompton,40,111
Cullompton,41,93
Cullompton,42,83
Cullompton,43,107
Cullompton,44,90
Cullompton,45,92
Cullompton,46,99
Cullompton,47,93
Cullompton,48,87
Cullompton,49,80
Cullompton,5,173
Cullompton,50,95
Cullompton,51,79
Cullompton,52,62
Cullompton,53,76
Cullompton,54,69
Cullompton,55,54
Cullompton,56,76
Cullompton,57,90
Cullompton,58,61
Cullompton,59,40
Cullompton,6,167
Cullompton,60,74
Cullompton,61,60
Cullompton,62,44
Cullompton,63,76
Cullompton,64,71
Cullompton,65,60
Cullompton,66,77
Cullompton,67,72
Cullompton,68,75
Cullompton,69,77
Cullompton,7,202
Cullompton,70,61
Cullompton,71,48
Cullompton,72,66
Cullompton,73,63
Cullompton,74,41
Cullompton,75,31
Cullompton,76,35
Cullompton,77,33
Cullompton,78,43
Cullompton,79,33
Cullompton,8,200
Cullompton,80,30
Cullompton,81,33
Cullompton,82,19
Cullompton,83,15
Cullompton,84,27
Cullompton,85,12
Cullompton,86,21
Cullompton,87,14
Cullompton,88,18
Cullompton,89,7
Cullompton,9,200
Cullompton,90,7
Cullompton,91,8
Cullompton,92,8
Cullompton,93,1
Cullompton,94,8
Cullompton,95,4
Cullompton,96,2
Cullompton,97,1
Cullompton,98,1
Cullompton,99,1
Dartmouth,,465
Dartmouth,0,3
Dartmouth,1,20
Dartmouth,10,83
Dartmouth,100,1
Dartmouth,101,1
Dartmouth,11,66
Dartmouth,12,66
Dartmouth,13,70
Dartmouth,14,64
Dartmouth,15,54
Dartmouth,16,50
Dartmouth,17,41
Dartmouth,18,37
Dartmouth,19,46
Dartmouth,2,22
Dartmouth,20,51
Dartmouth,21,29
Dartmouth,22,33
Dartmouth,23,32
Dartmouth,24,38
Dartmouth,25,39
Dartmouth,26,46
Dartmouth,27,50
Dartmouth,28,48
Dartmouth,29,53
Dartmouth,3,38
Dartmouth,30,51
Dartmouth,31,52
Dartmouth,32,43
Dartmouth,33,43
Dartmouth,34,49
Dartmouth,35,42
Dartmouth,36,47
Dartmouth,37,44
Dartmouth,38,37
Dartmouth,39,41
Dartmouth,4,48
Dartmouth,40,51
Dartmouth,41,36
Dartmouth,42,40
Dartmouth,43,47
Dartmouth,44,47
Dartmouth,45,56
Dartmouth,46,58
Dartmouth,47,45
Dartmouth,48,53
Dartmouth,49,54
Dartmouth,5,60
Dartmouth,50,51
Dartmouth,51,53
Dartmouth,52,47
Dartmouth,53,55
Dartmouth,54,39
Dartmouth,55,53
Dartmouth,56,70
Dartmouth,57,63
Dartmouth,58,47
Dartmouth,59,37
Dartmouth,6,62
Dartmouth,60,42
Dartmouth,61,64
Dartmouth,62,57
Dartmouth,63,59
Dartmouth,64,82
Dartmouth,65,60
Dartmouth,66,68
Dartmouth,67,76
Dartmouth,68,75
Dartmouth,69,93
Dartmouth,7,46
Dartmouth,70,88
Dartmouth,71,70
Dartmouth,72,62
Dartmouth,73,51
Dartmouth,74,48
Dartmouth,75,42
Dartmouth,76,44
Dartmouth,77,53
Dartmouth,78,36
Dartmouth,79,31
Dartmouth,8,69
Dartmouth,80,22
Dartmouth,81,14
Dartmouth,82,25
Dartmouth,83,20
Dartmouth,84,24
Dartmouth,85,19
Dartmouth,86,20
Dartmouth,87,14
Dartmouth,88,8
Dartmouth,89,13
Dartmouth,9,61
Dartmouth,90,7
Dartmouth,91,6
Dartmouth,92,9
Dartmouth,93,3
Dartmouth,94,4
Dartmouth,95,2
Dartmouth,96,3
Dartmouth,97,1
Dartmouth,98,2
Dawlish,,524
Dawlish,0,7
Dawlish,1,35
Dawlish,10,113
Dawlish,100,1
Dawlish,11,115
Dawlish,114,2
Dawlish,115,1
Dawlish,116,1
Dawlish,12,124
Dawlish,13,91
Dawlish,14,82
Dawlish,15,72
Dawlish,16,62
Dawlish,17,84
Dawlish,18,76
Dawlish,19,61
Dawlish,2,43
Dawlish,20,81
Dawlish,21,70
Dawlish,22,73
Dawlish,23,58
Dawlish,24,63
Dawlish,25,65
Dawlish,26,72
Dawlish,27,63
Dawlish,28,105
Dawlish,29,74
Dawlish,3,55
Dawlish,30,90
Dawlish,31,77
Dawlish,32,83
Dawlish,33,82
Dawlish,34,89
Dawlish,35,60
Dawlish,36,70
Dawlish,37,69
Dawlish,38,61
Dawlish,39,81
Dawlish,4,74
Dawlish,40,56
Dawlish,41,62
Dawlish,42,72
Dawlish,43,70
Dawlish,44,69
Dawlish,45,70
Dawlish,46,66
Dawlish,47,65
Dawlish,48,71
Dawlish,49,60
Dawlish,5,70
Dawlish,50,67
Dawlish,51,60
Dawlish,52,79
Dawlish,53,71
Dawlish,54,53
Dawlish,55,66
Dawlish,56,53
Dawlish,57,67
Dawlish,58,77
Dawlish,59,69
Dawlish,6,77
Dawlish,60,59
Dawlish,61,75
Dawlish,62,64
Dawlish,63,86
Dawlish,64,89
Dawlish,65,78
Dawlish,66,93
Dawlish,67,79
Dawlish,68,78
Dawlish,69,90
Dawlish,7,75
Dawlish,70,72
Dawlish,71,84
Dawlish,72,80
Dawlish,73,66
Dawlish,74,48
Dawlish,75,62
Dawlish,76,34
Dawlish,77,57
Dawlish,78,44
Dawlish,79,31
Dawlish,8,87
Dawlish,80,33
Dawlish,81,30
Dawlish,82,32
Dawlish,83,37
Dawlish,84,16
Dawlish,85,19
Dawlish,86,23
Dawlish,87,25
Dawlish,88,18
Dawlish,89,21
Dawlish,9,86
Dawlish,90,14
Dawlish,91,9
Dawlish,92,9
Dawlish,93,3
Dawlish,94,4
Dawlish,95,3
Dawlish,96,6
Dawlish,97,2
Dawlish,98,2
Exeter,,566
Exeter,0,26
Exeter,1,52
Exeter,10,123
Exeter,11,126
Exeter,112,2
Exeter,113,1
Exeter,115,3
Exeter,116,2
Exeter,12,134
Exeter,13,92
Exeter,14,78
Exeter,15,73
Exeter,16,48
Exeter,17,67
Exeter,18,74
Exeter,19,77
Exeter,2,80
Exeter,20,69
Exeter,21,69
Exeter,22,55
Exeter,23,64
Exeter,24,51
Exeter,25,55
Exeter,26,62
Exeter,27,57
Exeter,28,74
Exeter,29,69
Exeter,3,115
Exeter,30,59
Exeter,31,56
Exeter,32,82
Exeter,33,62
Exeter,34,62
Exeter,35,78
Exeter,36,81
Exeter,37,86
Exeter,38,86
